-- These classic quests are considered "mostly working" under quest system in current state
-- Please use the Quest Hub forums for bug reports: http://forums.dfworkshop.net/viewforum.php?f=25

-- name:        filename of QRC txt file
-- group:       guild group from FactionFile.GuildGroups enum, or ?quest giver type?
-- membership:  N=non-member, M=member, T=Akatosh, A=Arkay, D=Dibella, J=Julianos, K=Kynareth, R=Mara, S=Stendarr, Z=Zenithar
-- minRep:      minimum reputation required to be offered the quest (units can use X wildcard)
-- notes:
-   "reward bug" is a script error where reward is given before quest completed
-   "questor clear bug" is a script error where clicking on questor will cause quest to end immediately after target complete
-   "no hot-placement" is a DFU bug where resources cannot be placed to an active interior/dungeon. Need to exit and re-enter interior
-   "needs more action support" means DFU quest system needs more development for these quests to work properly.

schema: *name, group, membership, minRep, notes

-- Classic: Fighters Guild
M0C00Y11, FightersGuild, N, 0, Passed
M0C00Y12, FightersGuild, N, 0, Passed
M0C00Y13, FightersGuild, N, 0, Passed
M0C00Y14, FightersGuild, N, 0, Passed
M0B00Y00, FightersGuild, M, 0, Passed
M0B00Y06, FightersGuild, M, 0, Passed
M0B00Y07, FightersGuild, M, 0, Passed
M0B00Y15, FightersGuild, M, 0, Passed
M0B00Y16, FightersGuild, M, 0, Passed
-M0B00Y17, FightersGuild, M, 0, FAILED needs more action support
M0B1XY01, FightersGuild, M, 1X, Passed
-M0B11Y18, FightersGuild, M, 11, FAILED needs more action support
M0B20Y02, FightersGuild, M, 20, Passed
-M0B21Y19, FightersGuild, M, 21, FAILED needs more action support
M0B30Y03, FightersGuild, M, 30, Passed
M0B30Y04, FightersGuild, M, 30, Passed
M0B30Y08, FightersGuild, M, 30, Passed
M0B40Y05, FightersGuild, M, 40, Passed. Possible to break if one-shotting spriggan
M0B50Y09, FightersGuild, M, 50, Passed
M0B60Y10, FightersGuild, M, 60, Passed

-- Classic: Mages Guild
-N0C00Y01, MagesGuild, N, 0, FAILED. Banish Daedra
-N0C00Y10, MagesGuild, N, 0, FAILED. player log says "Exception during quest compile: An element with the same key already exists in the dictionary."
N0C00Y11, MagesGuild, N, 0, Passed
N0C00Y12, MagesGuild, N, 0, Passed
N0C00Y13, MagesGuild, N, 0, Passed
