-- NOTE: Contents adapted from Template 1.11 by Donald Tipton

schema: *name,p1,p2,p3

--	Faction classes for the Persons section of a Qbn file.
--	The cataloguer joins 0 #3 with #4 to create a unique internal code.
--
--	Occupation (parallels local shops, etc in places.src)
--
Chemist,             0, 0 , 0
Group_1,             0, 1 , 0
Armorer,             0, 2 , 0
Banker,              0, 3 , 0
Group_4,             0, 4 , 0
Bookseller,          0, 5 , 0
Tailor,              0, 6 , 0
Carpenter,           0, 7 , 0
Jeweler,             0, 8 , 0
Shopkeeper,          0, 9 , 0
Librarian,           0, 10, 0
Spellcaster,         0, 11, 0
Pawnbroker,          0, 12, 0
Smith,               0, 13, 0
Cleric,              0, 14, 0
Innkeeper,           0, 15, 0
Noble,               0, 16, 0
Resident1,           0, 17, 0
Resident2,           0, 18, 0
Resident3,           0, 19, 0
Resident4,           0, 20, 0
Questor,             0, 21, 0
--
--	Social groups
--	Social group 7 in factions.txt is almost certainly broken.  Both the
--	Vampire clans and all the temple crowds are assigned the same social
--	group, which seems wildly implausible.
--
--	Regardless, the qbn form to declare a social group is presently unknown.
--
-Commoner,           0, ?, 0
-Merchant,           0, ?, 1
-Scholar,            0, ?, 2
-Nobility,           0, ?, 3
-Underworld,         0, ?, 4
-Temple,             0, ?, 5
-Supernatural,       0, ?, 6
-Guild_Member,       0, ?, 7
-Oblivion,           0, ?, 10
-KingOfWorms,        0, ?, -7
--
--	Other groups appearing in the quests
--
Local_3.0,           0, -3, 0
Local_3.1,           0, -3, 1
Local_3.2,           0, -3, 2
Local_3.3,           0, -3, 3
Local_4.0,           0, -4, 0
Local_4.1,           0, -4, 1
Local_4.2,           0, -4, 2
Local_4.10k,         0, -4, 10000
Group_5.0,           0, -5, 0
Group_5.1,           0, -5, 1
Group_5.2,           0, -5, 2
Group_6.0,           0, -6, 0
Group_7.0,           0, -7, 0
Group_7.1,           0, -7, 1
Group_7.2,           0, -7, 2
Group_7.3,           0, -7, 3
PermanentNPC,        0, -8, -1
--
--	Faction types (type:nn from faction.txt = &4)
--
Faction,             0, -2, -1
Daedra,              0, -2, 0
God,                 0, -2, 1
Group,               0, -2, 2
Subgroup,            0, -2, 3
Person,              0, -2, 4
Official,            0, -2, 5
Vampire_Clan,        0, -2, 6
Province,            0, -2, 7
