-- These Fighter's Guild quests are considered "mostly working" under quest system in current state
-- Please use the Quest Hub forums for bug reports: http://forums.dfworkshop.net/viewforum.php?f=25

-- "reward bug" is a script error where reward is given before quest completed
-- "questor clear bug" is a script error where clicking on questor will cause quest to end immediately after target complete
-- "no hot-placement" is a DFU bug where resources cannot be placed to an active interior/dungeon. Need to exit and re-enter interior
-- "needs more action support" means DFU quest system needs more development for these quests to work properly.

schema: *name,notes

M0B00Y00, Passed
M0B00Y06, Passed with reward bug
M0B00Y07, Passed with reward bug
M0B00Y15, Passed with reward bug
M0B00Y16, Passed
-M0B00Y17, FAILED needs more action support
M0B1XY01, Passed
-M0B11Y18, FAILED needs more action support
M0B20Y02, Passed with engine bugs ("injured _monster_ saying 1020" does not work)
-M0B21Y19, FAILED needs more action support
M0B30Y03, Passed
M0B30Y04, Passed
M0B30Y08, Passed with reward bug
M0B40Y05, Passed with reward bug; possible to break if one-shotting spriggan
M0B50Y09, Passed with reward bug
M0B60Y10, Passed
M0C00Y11, Passed with reward bug
M0C00Y12, Passed with reward bug
M0C00Y13, Passed with reward bug
M0C00Y14, Passed with reward bug
CUSTOM01, New quest exclusive to Daggerfall Unity
