Key,Value
17,Oblivion
1,Clavicus Vile
2,Mehrunes Dagon
3,Molag Bal
4,Hircine
5,Sanguine
6,Peryite
7,Malacath
8,Hermaeus Mora
10,Boethiah
11,Namira
12,Meridia
13,Vaernima
14,Nocturnal
15,Mephala
356,The Night Mother
108,The Dark Brotherhood
839,Dark Trainers
840,Dark Mixers
841,Venom Masters
842,Dark Plotters
843,Dark Binders
807,Dark Slayers
16,Azura
9,Sheogorath
450,Generic Temple
240,Temple Missionaries
810,Temple Treasurers
813,Temple Healers
811,Temple Blessers
25,Ebonarm
90,The Citadel of Ebonarm
91,The Battlelords
21,Arkay
82,The Order of Arkay
83,The Knights of the Circle
453,Apothecaries of Arkay
454,Mixers of Arkay
456,Summoners of Arkay
455,Binders of Arkay
241,Teachers of Arkay
22,Zen
84,The Resolution of Z'en
85,The Knights of Iron
462,Apothecaries of Z'en
463,Mixers of Z'en
464,Summonists of Z'en
243,Teachers of Z'en
24,Mara
88,The Benevolence of Mara
402,Lord Quistley
89,The Maran Knights
468,Apothecaries of Mara
469,Mixers of Mara
470,Summoners of Mara
245,Teachers of Mara
26,Akatosh
92,The Akatosh Chantry
93,The Order of the Hour
385,Charvek-si
473,Apothecaries of Akatosh
474,Mixers of Akatosh
475,Summoners of Akatosh
247,Teachers of Akatosh
27,Julianos
94,The School of Julianos
95,The Knights Mentor
407,Br'itsa
480,Crafters of Julianos
481,Smiths of Julianos
482,Summoners of Julianos
249,Teachers of Julianos
29,Dibella
98,The House of Dibella
99,The Order of the Lily
485,Apothecaries of Dibella
487,Mixers of Dibella
488,Summoners of Dibella
250,Teachers of Dibella
33,Stendarr
106,The Temple of Stendarr
107,The Crusaders
490,Apothecaries of Stendarr
491,Mixers of Stendarr
492,Summoners of Stendarr
252,Teachers of Stendarr
35,Kynareth
36,The Temple of Kynareth
37,The Kynaran Order
370,Lord Coulder
497,Spellsmiths of Kynareth
498,Summoners of Kynareth
496,Enchanters of Kynareth
254,Teachers of Kynareth
977,Secret of Oblivion
40,The Mages Guild
68,The Archmagister
69,The Guildmagister
369,Popudax
396,Karethys
71,The Master of Incunabula
70,The Master of Academia
74,The Master of the Scry
72,The Master at Arms
73,The Palatinus
76,The Master of Initiates
60,The Academics
61,The Patricians
62,The Travelers League
63,The Mercenary Mages
64,The Isolationists
65,The Utility Mages
66,The Cabal
67,The Order of the Lamp
801,The Odylic Mages
802,The Crafters
150,The Vraseth
151,The Haarvenu
152,The Thrafey
153,The Lyrezi
154,The Montalion
155,The Khulari
156,The Garlythi
157,The Anthotis
158,The Selenu
41,The Fighters Guild
849,Fighter Trainers
850,Fighter Equippers
851,Fighter Questers
42,The Thieves Guild
77,The Guildmaster
373,The Crow
388,Thaik
399,The Squid
375,Lord Bertram Spode
374,Thyr Topfield
389,Whitka
18,The Master of Initiates
803,The Shadow Trainers
804,The Shadow Schemers
805,The Shadow Appraisers
806,The Shadow Spies
852,Random Ruler
242,Random Noble
853,Random Knight
200,Dwynnen
516,Court of Dwynnen
517,People of Dwynnen
414,The Order of the Raven
844,Generic Knightly Order
845,Smiths
846,Questers
847,Healers
848,Seneschal
201,Daggerfall
364,King Gothryd
371,Mobar
372,The Royal Guard
365,Queen Aubk-i
500,Cyndassa
366,Mynisera
367,Lord Bridwell
368,The Knights of the Dragon
377,Lady Bridwell
501,Lady Northbridge
595,Court of Daggerfall
518,People of Daggerfall
203,Betony
519,Court of Betony
520,People of Betony
202,Glenpoint
521,Court of Glenpoint
522,People of Glenpoint
413,The Knights of the Owl
204,Sentinel
380,Queen Akorithi
383,Lord Vhosek
384,The Royal Guards
381,Prince Greklith
382,Prince Lhotun
386,Lord K'avar
408,The Order of the Candle
387,Lord Provlith
596,Court of Sentinel
523,People of Sentinel
205,Anticlere
400,Lady Doryanna Flyte
410,The Knights of the Flame
401,Lord Auberon Flyte
403,Farrington
404,Lord Perwright
597,Court of Anticlere
524,People of Anticlere
206,Lainlyn
379,Baron Shrike
411,The Host of the Horn
405,Baroness Dh'emka
406,Lord Kain
246,Court of Lainlyn
525,People of Lainlyn
207,Wayrest
390,King Eadwyre
391,Queen Barenziah
392,Princess Elysana
393,Prince Helseth
394,Princess Morgiah
395,Lord Castellian
397,Lord Darkworth
409,The Knights of the Rose
398,Lord Woodborne
499,Court of Wayrest
526,People of Wayrest
208,Northmoor
527,Court of Northmoor
528,People of Northmoor
209,Menevia
529,Court of Menevia
530,People of Menevia
210,Alcaire
531,Court of Alcaire
532,People of Alcaire
211,Koegria
533,Court of Koegria
534,People of Koegria
212,Bhoriane
535,Court of Bhoriane
536,People of Bhoriane
213,Kambria
537,Court of Kambria
538,People of Kambria
214,Phrygias
539,Court of Phrygias
540,People of Phrygias
215,Urvaius
541,Court of Urvaius
542,People of Urvaius
216,Ykalon
543,Court of Ykalon
544,People of Ykalon
217,Daenia
545,Court of Daenia
546,People of Daenia
218,Shalgora
547,Court of Shalgora
548,People of Shalgora
219,Abibon-Gora
549,Court of Abibon-Gora
550,People of Abibon-Gora
415,The Knights of the Wheel
220,Kairou
551,Court of Kairou
552,People of Kairou
221,Pothago
553,Court of Pothago
554,People of Pothago
222,Myrkwasa
555,Court of Myrkwasa
556,People of Myrkwasa
223,Ayasofya
557,Court of Ayasofya
558,People of Ayasofya
224,Tigonus
559,Court of Tigonus
560,People of Tigonus
225,Kozanset
561,Court of Kozanset
562,People of Kozanset
226,Satakalaam
563,Court of Satakalaam
564,People of Satakalaam
227,Totambu
565,Court of Totambu
566,People of Totambu
416,The Order of the Scarab
228,Mournoth
567,Court of Mournoth
568,People of Mournoth
229,Ephesus
569,Court of Ephesus
570,People of Ephesus
230,Santaki
571,Court of Santaki
572,People of Santaki
231,Antiphyllos
573,Court of Antiphyllos
574,People of Antiphyllos
417,The Knights of the Hawk
232,Bergama
575,Court of Bergama
576,People of Bergama
233,Gavaudon
577,Court of Gavaudon
578,People of Gavaudon
234,Tulune
579,Court of Tulune
580,People of Tulune
235,Ilessan Hills
581,Court of Ilessan Hills
582,People of Ilessan Hills
236,Cybiades
583,Court of Cybiades
584,People of Cybiades
301,The Oracle
302,The Acolyte
303,Nulfaga
304,Skakmat
305,King of Worms
306,The Necromancers
350,The Septim Empire
351,The Great Knight
129,The Blades
352,Lady Brisienna
353,The Underking
354,Agents of The Underking
355,Lord Harth
412,The Host of the True Horn
358,Orsinium
357,Gortwog
598,Court of Orsinium
599,People of Orsinium
359,Lord Plessington
418,The Order of the Cup
360,Lord Kilbar
361,Chulmore Quill
362,The Quill Circus
376,Baltham Greyman
378,Sylch Greenwood
419,The Glenmoril Witches
420,The Dust Witches
421,The Witches of Devilrock
422,The Tamarilyn Witches
423,The Sisters of the Bluff
424,The Daughters of Wroth
425,The Skeffington Witches
426,The Witches of the Marsh
427,The Mountain Witches
428,The Daggerfall Witches
429,The Beldama
430,The Sisters of Kykos
431,The Tide Witches
432,The Witches of Alcaire
510,The Merchants
511,The Bards
512,The Prostitutes
513,The Fey
514,Children
515,Dancers
502,Wrothgaria
503,Court of Wrothgaria
504,People of Wrothgaria
505,Dragontail
506,Court of Dragontail
507,People of Dragontail
508,Alik'ra
509,Court of Alik'ra
590,People of Alik'ra
591,Dak'fron
592,Court of Dak'fron
593,People of Dak'fron
199,Isle of Balfiera
363,Medora
244,Court of Balfiera
198,People of Balfiera
196,Glenumbra Moors
195,Court of Glenumbra Moors
194,People of Glenumbra Moors
