Key,Value
22400,beautiful maiden
22401,dark warrior
22402,terrible child
22403,horned man
22404,clawed monstrosity
22405,green humanoid
22406,four-armed giant
22407,dark woman
22408,blonde woman
22409,cloven-footed man
22410,dark woman
22411,dark-clad woman
22412,green serpent
22413,crimson giant
22414,elegant gentleman
22415,wizened crone
22528,dark-cloaked man
22529,dark-cloaked man
22530,bare-breasted dancer
22531,bare-breasted dancer
22532,dancer
22533,dark-cloaked man
22534,woman in black and red
22656,cowled old man
22657,old man with a hat
22658,bald man
22659,blonde woman
22660,man with glowing eyes
22661,magic crafter
22784,cowled woman
22785,red-cowled man
22786,red-cloaked man
22787,red-cloaked man
22788,man with glowing eyes
22789,red-cowled dancer
22790,red-cowled dancer
22912,naked dark-haired woman
22913,naked woman
22914,mysterious woman
22915,black-cowled dancer
22916,red-haired woman
23040,dark-haired woman in red
23041,noblewoman wearing blue
23042,well-dressed man
23043,portly man in violet
23168,blue-cloaked man
23169,young woman in blue
23170,blue-cloaked old man
23171,blue-cloaked boy
23172,beautiful blonde
23173,dancer wearing blue
23174,blue-cloaked dancer
23175,blue-cloaked dancer
23296,white-haired old man
23297,fat bald man
23298,blond-bearded man
23299,bearded man
23300,well-dressed boy
23301,jester
23302,jester
23303,white-bearded man
23304,man in chef's hat
23305,woman in gray
23306,woman in blue
23307,comely maiden
23308,milk maid
23309,man wearing brown
23310,man in a brown hat
23311,blond aristocrat
23312,fair-bearded man
23313,blond-bearded man
23314,brown-haired young man
23315,man in a gray tunic
23316,man in a green coat
23317,old beggar
23318,cloaked old man
23319,man in a blue coat
23320,bearded old man
23321,scruffy-looking sailor
23322,young lady in green
23323,elegantly dressed lady
23324,blue-cloaked woman
23325,pathetic old cripple
23326,pitiful bald man
23327,pitiful bald man
23328,good-looking whore
23329,prostitute
23330,blonde whore
23331,scruffy sailor
23332,snake charmer
23333,flute player
23334,little girl
23335,street sweeper
23336,wise-looking man
23337,remarkable woman
23338,page boy
23339,little boy
23340,old crone
23341,adventuresome woman
23342,handsome young man
23343,pretty young lady
23344,blond whore
23345,juggler
23346,flutist
23347,lutist
23348,drummer
23349,young bellringer
23350,hooded man
23351,hooded man
23352,hooded woman
23353,nearly naked man
23354,nearly naked man
23355,blacksmith
23424,regal fairie
23425,regal fairie
23426,guard
23427,guard
23428,noble-looking man
23429,flamboyant young man
23430,bearded king
23431,king wearing a turban
23432,white-haired queen
23433,brunette queen
23434,king
23435,queen
23436,cowled monk
23437,handsome young king
23438,stunning brunette
23439,blind old crone
23440,stylish fat man
23441,bedraggled witch
23442,gorgeous Redguard
23443,majestic orc
23444,Dark Elf king
23445,blonde queen
23552,well-to-do merchant
23553,woman in a cloak
23554,man in a green robe
23555,fat flutist
23556,strapping young man
23557,beautiful blonde
23558,bare-breasted wench
23559,sleek-looking blonde
23560,blonde strumpet
23561,shapely brunette
23562,dazzling blonde
23563,naked blonde woman
23564,naked brunette
23565,naked blonde
23566,naked brunette
23567,ragged young boy
23568,chubby old man
23569,brawny peasant
23570,tough she-devil
23571,attractive blonde
23572,man in purple
23573,bearded old man
23574,woman with a staff
23575,woman in green pants
23576,dark-haired rogue
23577,fair-haired youth
23578,red-haired woman
23579,pathetic beggar
23580,red-headed vixen
23581,blonde wearing blue
23582,dark-skinned woman
23583,bald slave
23584,dark warrior woman
23585,dark buxom wench
23586,man on horseback
25472,Light
25473,Light
25474,Daedra
25475,Summoning
25476,Rest
25477,Court
25478,Pit
25479,Effect
25480,Entrance
25481,Path
25482,Start
25483,Quest
25484,Create
25485,Prison
25486,Prison exit
25487,Random monster
25488,Monster
42771,Gothryd
42773,Aubki
42752,Provlith
42753,Popudax
42757,Cyadasga
42756,Myniseva
42770,Mobar
42769,Bridwell
45703,Prince Lhotun
42762,Lady Northbridge
45711,Queen Akorithi
45697,Prince Greklith
44305,Princess Elysana
44288,Princess Morgiah
44310,Queen Barenziah
44309,King Eadwyre
44304,Prince Helseth
44299,Karethys
44295,Lord Castellian
44298,blue-cloaked woman (court wayrest)
42768,guard
44308,guard
45709,guard
42758,jester
44291,jester
42755,jester
42763,lutist
42772,stylish fat man
42759,bearded old man
42761,page boy
42767,guard
44307,guard
45708,guard
44302,wise-looking man
45701,flute player
45698,woman in gray
45700,scruffy sailor
45706,nearly naked man
42766,blacksmith
