Key,Value
382613,Caarcun Manor
1435144,The Flying Goat Hostel
2484750,Ruins of The Caorchom Farmstead
3533330,Singing Star of Stendarr
4582840,The Dead Griffin Inn
5631489,Sacred Rebirth of Stendarr
6681069,Ruins of The F'igta Farmstead
7730553,Blessed Prophet of Stendarr
8779219,Maorn's Guard
9828725,The Old Nheth Place
10878349,Atriga
11926957,The Tombs of Klerd
12975535,The Old Luctta Shack
14025104,Bubyrydata
15074640,The Bat and Bird Hostel
16124193,Berbaaqnia
17174726,THe Crypts of Rhajom
18223327,Groleten
19271936,Ruins of Old Stectti's Place
20320547,The Shust Farmstead
21369130,Holy Martyr of Stendarr
22417712,Castle Lhishen
23467165,The Tombs of Cofylt
24516751,Fearful Tree of Stendarr
25565421,The T'arder Vaults
26614955,Ruins of The Ghach Farmstead
27663535,Ruins of Tlurn'kern Palace
28712158,Mhurgin Manor
29760740,Weeping Redeemer of Stendarr
30810229,Ruins of Mhurp Orchard
31859850,The Azarus Web
32910438,The Tower of Thuze
33959037,Ruins of Cyeghtan Manor
35008605,Kaloguja
36057193,Ruins of Saullur Grange
37106662,Ruins of Merim's Guard
38155335,The Rat and Castle Tavern
39204823,Rlictta Grange
40253489,Syro-Kom
41303972,Bleeding Light of Stendarr
42353413,Ruins of Old Lerkfa's Shack
43402098,Ruins of Krofylen Court
44450710,The Tower of Caect'kern
45499404,Bleeding Seer of Stendarr
46548913,Ruins of Old Mhorci's Place
47597527,The Tower of Baesum
48647001,Hettubu
49695593,Ruins of Rairgke Hall
50744174,Sekbith
51793622,Fholl Palace
52842419,The Devil's Mug Tavern
53891732,Ruins of Old Sles-i's Farm
54940340,Mogandaton
55989066,The Rurcur Graveyard
57037717,The Vlozir Vaults
58086314,The Tricerlorog Web
59135650,Ruins of The Rlethten Farmstead
60184362,The Marexulla Manse
61233933,Grejon Palace
62282512,The Cairn of Balthobam
63331146,The Sepulcher of Lithehoth
64379737,Dhalpem Hall
65429189,THe Crypts of Chort
66477767,Zenunnuga
67526394,Rhogila
68575045,Garin Manor
69624526,The Citadel of Kherdar
70673223,Tower Dasen
71722522,Old Mught-si's Shack
72771108,Burning Idol of Stendarr
73819798,Khurtin Court
74868381,Osopaisa
75917092,The Flor Pit
76966430,The Maelinxullah Hermitage
78015130,The Restless Badger Inn
79064561,Shallir Tower
80113160,Ruins of Rlold'kern Tower
