Key,Value
4,The Masque of Clavicus
66,The Mehrunes Razor
128,The Mace of Molag Bal
190,The Hircine Ring
252,The Sanguine Rose
314,Oghma Infinium
376,The Wabbajack
438,The Ring of Namira
500,The Skull of Corruption
562,Azura's Star
624,Silent %it
686,%it of the Wise
748,%it of Wildfire
810,%it of Force Bolts
872,Shining %it
934,%it of the Sealed Door
996,%it of Undeniable Access
1058,%it of Venom Antidote
1120,%it of Life Stealing
1182,%it of Wizard's Fire
1244,Leaping %it
1306,%it of Water-walking
1368,%it of Magicka
1430,Never Tiring %it
1492,%it of Featherweight
1554,"%it, the Protector"
1616,%it of Shocking
1678,Cursing %it
1740,%it of Far Silence
1802,%it of Venom Spitting
1864,Blazing %it of Fireballs
1926,Frosty %it of Ice Storms
1988,%it of Lightning
2050,Deadman's %it
2112,Healing %it
2174,%it of the Orc Lord
2236,Unrestrainable %it
2298,%it of Iron Will
2360,%it of Nimbleness
2422,Torgo's %it
2484,%it of Fortitude
2546,%it of Friendship
2608,%it of Good Luck
2670,%it of Oblivion
2732,%it of Toxic Clouds
2794,%it of Paralysis
2856,Volendrung
2918,Warlock's Ring
2980,Auriel's Bow
3042,Necromancer's Amulet
3104,Chrysamere
3166,Lord's Mail
3228,Staff of Magnus
3290,Ring of Khajiit
3352,Ebony Mail
3414,Auriel's Shield
3476,Spell Breaker
3538,Skeleton's Key
3600,Ebony Blade
