Key,Value
1,Fenrik's Door Jam
2,Buoyancy
3,Frostbite
4,Levitate
5,Light
6,Invisibility
7,Wizard's Fire
8,Shock
9,Strength Leech
10,Free Action
11,Resist Cold
12,Resist Fire
13,Resist Shock
14,Fireball
15,Cure Poison
16,Ice Bolt
17,Shield
18,Open
19,Wizard Lock
20,Ice Storm
22,Spell Shield
23,Silence
24,Troll's Blood
25,Fire Storm
26,Resist Poison
27,Spell Drain
28,Far Silence
29,Toxic Cloud
30,Shalidor's Mirror
31,Lightning
32,Gods' Fire
33,Wildfire
34,Wizard Rend
35,Medusa's Gaze
36,Force Bolt
37,Slowfalling
38,Jumping
39,Spell Resistance
40,Stamina
41,Water Walking
42,Water Breathing
44,Chameleon
45,Shadow Form
46,Spell Reflection
47,Spell Absorption
49,Tongues
50,Paralysis
51,Sleep
52,Vampiric Touch
53,Hand of Sleep
54,Magicka Leech
55,Sphere of Negation
56,Hand of Decay
57,Banish Daedra
58,Holy Word
59,Null Magicka
60,Balyna's Antidote
61,Cure Disease
62,Soul Trap
64,Heal
66,Spider Touch
67,Energy Leech
71,Nux Vomica
72,Arsenic
73,Moonseed
74,Drothweed
75,Somnalius
76,Pyrrhic Acid
77,Magebane
78,Thyrwort
79,Indulcet
80,Sursum
81,Quaesto Vil
82,Orc Strength
83,Wisdom
84,Iron Will
85,Nimbleness
86,Feet of Notorgo
87,Fortitude
88,Charisma
89,Jack of Trades
90,Charm Mortal
91,Calm Humanoid
92,Lycanthropy
94,Recall
97,Balyna's Balm
98,Quiet Undead
99,Tame
