Key,Value
about_internal_strings,This string table collection stores text that was hard-coded in FALL.EXE and text unique to Daggerfall Unity.
pleaseSelectYourHomeProvince,Please select your home province...
saveGame,Save Game
loadGame,Load Game
thingJustDied,%s just died.
gameSaved,Game saved.
gameLoaded,Game loaded.
thisHouseHasNothingOfValue,This house has nothing of value.
findLocationPrompt,Enter name of place : 
rightHandEquipped,Right hand equipped.
leftHandEquipped,Left hand equipped.
usingRightHand,Using weapon in right hand.
usingLeftHand,Using weapon in left hand.
itemHasBroken,%s has broken.
itemHasBrokenPlural,%s have broken.
cannotCarryGold,You cannot carry that much gold.
cannotFloat,You are carrying too much to stay afloat.
youHaveNoArrows,You have no arrows.
oldSaveNoTrade,"Old indoor save loaded, trade window will not work please exit and re-enter building."
theBodyHasNoTreasure,The body has no treasure.
youAreTooFarAway,You are too far away...
youSeeAn,You see an %s.
youSeeA,You see a %s.
youSeeADeadPerson,You see a dead person.
youSeeADead,You see a dead %s.
youCollectArrows,You pluck your arrows out of the corpse.
loiterHowManyHours,Loiter how many hours : 
restHowManyHours,Rest how many hours : 
potionRecipeFor,Recipe for Potion of %po
potionOf,Potion of %po
letterPrefix,Letter: 
multipleAssignments,You have multiple assignments...
youAreEntering,You are entering %s
storeClosed,Store is closed. Open from %d1:00 to %d2:00.
guildClosed,Guild is closed. Open from %d1:00 to %d2:00.
any,Any %s
arkayDesc,God of Birth and Death
zenDesc,God of Work and Commerce
maraDesc,Goddess of Love
akatoshDesc,God of Time
julianosDesc,God of Logic
dibellaDesc,Goddess of Beauty
stendarDesc,God of Mercy
kynarethDesc,Goddess of Air
interactionIsNowInMode,Interaction is now in %s mode.
steal,steal
grab,grab
info,info
dialogue,dialogue
residence,Residence
youSee,You see %s.
theNamedResidence,The %s Residence
playerResidence,%s's house
materialIneffective,The material of the weapon you are using is ineffective.
successfulBackstab,Successful backstab!
languagePacified,Pacified %e using %s skill.
lockpickingSuccess,The lock clicks open.
lockpickingFailure,It does not unlock.
magicLock,This is a magically held lock...
lockpickChance1,This lock has nothing to fear from you...
lockpickChance2,It'd be a miracle if you picked this lock...
lockpickChance3,This lock looks to be beyond your skills...
buildingNames,"Temple of Akatosh
Temple of Arkay
Temple of Dibella
Temple of Julianos
Temple of Kynareth
Temple of Mara
Temple of Stendarr
Temple of Zen
Order of the Raven
Knights of the Dragon
Knights of the Owl
Order of the Candle
Knights of the Flame
Host of the Horn
Knights of the Rose
Knights of the Wheel
Order of the Scarab
Knights of the Hawk
Mages Guild
Fighters Guild
Tavern
Library
Weapon Smith
Armorer
Alchemist
Bank
Bookstore
Clothing store
Gem store
Pawn shop"
lockpickChance,"You doubt your ability to open this lock...
This lock looks difficult...
You would be challenged by this lock...
This lock would prove a good challenge...
You think you should be able to pick this lock...
This lock seems relatively easy...
You are amused by this lock...
You laugh at the amateur quality of this lock...
You see a pathetic excuse for a lock...
This lock is an insult to your abilities..."
youPinchedGoldPiece,You pinched 1 gold piece.
youPinchedGoldPieces,You pinched %d gold pieces.
youAreNotSuccessful,You are not successful...
daysUntilFreedom,%d days until freedom.
skillImprove,Your %s skill has improved.
mustDistributeBonusPoints,You must distribute all bonus points.
enterNewName,Enter new name : 
affiliation,Affiliation
rank,Rank
serviceQuests,Get Quest
serviceSell,Sell
serviceBanking,Banking
serviceIdentify,Identify
serviceBuySpells,Buy Spells
serviceTraining,Training
serviceTeleport,Teleportation
serviceMakeSpells,Make Spells
serviceBuyMagicItems,Buy Magic Items
serviceSellMagicItems,Sell Magic Items
serviceDaedraSummon,Daedra Summoning
serviceMakeMagicItems,Make Magic Items
serviceRepairs,Repairs
serviceDonate,Make Donation
serviceCure,Cure Disease
serviceSpymaster,Spymaster
serviceMakePotions,Make Potions
serviceBuyPotions,Buy Potions
serviceBuySoulgems,Buy Soulgems
serviceReceiveArmor,Receive Armor
serviceReceiveHouse,Receive House
serviceReceiveHouseAlready,You have already received your house.
accessMembersOnly,You need to be a member of sufficient rank to access this.
serviceCured,You are cured.
serviceSummonCost1,"%pcn, the cost for me to attempt a"
serviceSummonCost2,summoning of %dae is 
serviceSummonCost3, gold.
roomFreeForKnightSuchAsYou,The room is free for a knight such as you.
roomFreeDueToHeartsDay,Room is free due to Heart's Day.
youAreNotHungry,You are not hungry.
exhaustedInWater,Fatigue overcomes you and sends you to a watery grave....
youFeelSomewhatBad,You feel somewhat bad.
avoidDeath,"By the mercy of Stendarr, you survive certain death!"
pronounHe,he
pronounShe,she
pronounHim,him
pronounHer,her
pronounHis,his
pronounHers,hers
pronounHimself,himself
pronounHerself,herself
city,city
village,village
hamlet,hamlet
farm,farm
shack,shack
manor,manor
community,community
shrine,shrine
King,King
Queen,Queen
Duke,Duke
Duchess,Duchess
Marquis,Marquis
Marquise,Marquise
Count,Count
Countess,Countess
Baron,Baron
Baroness,Baroness
Lord,Lord
Lady,Lady
revered,revered
esteemed,esteemed
honored,honored
admired,admired
respected,respected
dependable,dependable
aCommonCitizen,a common citizen
hated,hated
pondScum,pond scum
aVillain,a villain
aCriminal,a criminal
aScoundrel,a scoundrel
undependable,undependable
unknown,unknown
Broken,Broken
Useless,Useless
Battered,Battered
Worn,Worn
Used,Used
SlightlyUsed,Slightly Used
AlmostNew,Almost New
New,New
Nothing,Nothing
local,local
tavern,tavern
Attempted_Breaking_And_Entering,Attempted Breaking and Entering
Trespassing,Trespassing
Breaking_And_Entering,Breaking and Entering
Assault,Assault
Murder,Murder
Tax_Evasion,Tax Evasion
Criminal_Conspiracy,Criminal Conspiracy
Vagrancy,Vagrancy
Smuggling,Smuggling
Piracy,Piracy
High_Treason,High Treason
Pickpocketing,Pickpocketing
Theft,Theft
Treason,Treason
Loan_Default,Loan Default
Regular_Punishment_String,%gtp gold pieces in fines and %dip days in prison
Banishment,Banishment
Execution,Execution
cannotChangeTransportationIndoors,You cannot change transportation indoors.
cannotTravelWithEnemiesNearby,You cannot travel with enemies nearby.
cannotTravelIndoors,You cannot travel while indoors.
powersUnknown,Powers unknown.
itemPowers,"Cast when used:
Cast when held:
Cast when strikes:
Extra spell pts
Potent vs
Regens health
Vampiric effect
Increased weight allowance
Repairs objects
Absorbs spells
Enhances skill
Feather weight
Strengthens armor
Improves talents
Good rep with
Soul bound
Item deteriorates
User takes damage
Vision problems
Walking problems
Low damage vs
Health leech
Bad reactions from
Extra weight
Weakens armor
Bad rep with"
