- Text database for mod and mod settings windows.

schema: *key,text

modLoadPriority,            Load Priority
modTitle,                   Selected
modDescription,             Mod Description
modVersion,                 Version
modAuthor,                  Author
modAuthorContact,           Contact
modDFTFUVersion,            DFUnity Version

emptyTitle,                 <title>
missingTitle,               <Unknown>
emptyDescription,           <description>
missingDescription,         <Missing description>
newPreset,                  <New Preset>
newPresetInfo,              Create a new preset from current values.
author,                     Author
versionMismatch,            Version mismatch!

increase,                   Increase
lower,                      Lower
enableAll,                  ALL ON
enableAllInfo,              Enable All Mods
disableAll,                 ALL OFF
disableAllInfo,             Disable All Mods
enabled,                    Enabled
enabledInfo,                Toggle Mod
refresh,                    Refresh
refreshInfo,                Check for changes in mod directory
saveClose,                  Save and Close
saveCloseInfo,              Save changes and return to options menu
extractText,                Extract Text
extractTextInfo,            Extract Text Assets 
load,                       Load
save,                       Save
cancel,                     Cancel
reset,                      Reset
resetConfirmation,          Revert all settings to default values?

backToOptions,              Options
backToOptionsInfo,          Back to options without saving changes
modsFound,                  Mods Found
settings,                   Settings
settingsInfo,               Change mod settings
presets,                    Presets
presetsInfo,                Load/Save settings values for this mod.
