1.	Besides the bow and arrow, you are best at ___.
a.	Short-bladed weapons
	#4416
	33 +9
	28 +3
	IT 3 3 0
b.	Hand-to-hand combat
	#4417
	33 +9
	30 +3
	IT 2 1 0
c.	Axe fighting
	#4418
	33 +9
	31 +3
	IT 3 15 0
d.	Blunt weapons
	#4419
	33 +9
	32 +3
	IT 3 13 0
e.	Longblade
	#4205
	33 +9
	29 +3
	IT 3 9 0

2.	What motivates you into a life of
	adventure?
a.	Riches
	#4560
	GP +500
b.	Fame
	#4561
	r4 +10
	r2 +10
c.	Knowledge
	#4562
	IT 7 0 0
d.	Fun
	#4563
	1 +3
	2 +3
e.	Helping Others
	#4564
	r0 +10
	
3.	Which of the following skills have you
	been studying the longest?
a.	Dodging
	20 +6
b.	Stealth
	16 +6
c.	Backstabbing
	19 +6
d.	Lockpicking
	13 +6
e.	Pickpocketing
	15 +6
f.	Climbing
	18 +6
g.	Critical-Striking
	34 +6
h.	Running
	21 +6
i.	Jumping
	3 +6

4.	As a child, your nickname was ___.
a.	Rabbit
	3 +6
b.	Guppy
	17 +6
c.	Quicksilver
	21 +6
d.	Scrapper
	30 +6
e.	Monkey
	18 +6

5.	Of all disagreeable types, you have the
	most personal hatred for ___.
a.	Sanctimonious priests
	#4212
	AE M 8 12 +3
b.	Diabolic wizards
	#4213
	AE M 8 2 +4
c.	Stupid peasants
	#4214
	AE M 8 8 +3
d.	Power-mad robber barons
	#4215
	AE M 8 17 +4

6.	You have an unusually high affinity with ___.
a.	the savage Harpies
	#4428
	5 +6
b.	the simple Giants
	#4429
	6 +6
c.	the glorious Dragons
	#4430
	7 +6
d.	the immodest Nymphs
	#4431
	8 +6
e.	the infernal Daedra
	#4432
	9 +6
f.	the bucolic Spriggans
	#4433
	10 +6
g.	the primitive Centaurs
	#4434
	11 +6
h.	the mischevious Imps
	#4435
	12 +6

7.	You have the most trouble ___.
a.	Resisting poisons
	RP -10
b.	Staying awake and alert
	FT -5
c.	Getting along with others
	RR -5
d.	Avoiding diseases
	RD -5
e.	Resisting spells
	MR -5
f.	Fighting and parrying
	TH -5

8.	Since childhood, you have saved  ___.
a.	100 gold pieces
	GP +100
b.	A book
	IT 7 0 0
c.	A dozen arrows
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
d.	A cuirass
	IT 2 0 0

9.	You feel most comfortable ___.
a.	On stable ground
	21 +4
b.	In the water
	17 +4
c.	On a ledge or tree
	18 +4
d.	Anywhere dark
	16 +4
e.	With other people
	1 +2
	2 +2

10.	Given 200 gold pieces as a reward,
	You decided to ___.
a.	Save it.
	GP +200
b.	Buy an ebony dagger
	IT 3 0 7
c.	Buy a rare book
	IT 7 0 0
d.	Buy a ruby
	IT 14 0 0
e.	Buy a silver staff
	IT 3 2 2

11.	You spend any free time you have
	training with ___.
a.	Short-bladed weapons
	28 +6
b.	Hand-to-hand combat
	30 +6
c.	Axe fighting
	31 +6
d.	Blunt weapons
	32 +6
e.	Archery
	33 +6
f.	Longblade
	29 +6

12.	You are intimate friends with ___.
a.	a Monk
	#4212
	AF O 8 12 +1
b.	a Mage
	#4213
	AF O 8 2 +1
c.	a Rogue
	#4214
	AF O 8 8 +1
d.	a Warrior
	#4215
	AF O 8 17 +1
e.	an Assassin
	#4216
	AF O 8 11 +1

